,timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,S_state,I_state,R_state,incident_cases_observable_state,beta_param_observable_state
0,0,0,0.0,0.0029175076633691788,0.051650479435920715,999.0,1.0,0.0,2.9145901203155518,0.0029175076633691788
1,1,0,1.0,0.0029175076633691788,0.051650479435920715,982.4354858398438,17.2685546875,0.29600733518600464,49.496219635009766,0.0029175076633691788
2,2,0,2.0,0.0029175076633691788,0.051650479435920715,761.30126953125,233.88832092285156,4.810543537139893,519.4898681640625,0.0029175076633691788
3,3,0,3.0,0.0029175076633691788,0.051650479435920715,157.33482360839844,809.9429321289062,32.72301483154297,371.78448486328125,0.0029175076633691788
4,4,0,4.0,0.0029175076633691788,0.051650479435920715,11.820147514343262,909.6296997070312,78.55012512207031,31.36891746520996,0.0029175076633691788
5,5,0,5.0,0.0029175076633691788,0.051650479435920715,0.870610773563385,874.4017333984375,124.72767639160156,2.22099232673645,0.0029175076633691788
6,6,0,6.0,0.0029175076633691788,0.051650479435920715,0.0723346397280693,831.1553344726562,168.77243041992188,0.1754044145345688,0.0029175076633691788
7,7,0,7.0,0.0029175076633691788,0.051650479435920715,0.006806189194321632,789.3787231445312,210.61444091796875,0.015674779191613197,0.0029175076633691788
8,8,0,8.0,0.0029175076633691788,0.051650479435920715,0.0007212763885036111,749.6476440429688,250.35140991210938,0.001577505492605269,0.0029175076633691788
9,9,0,9.0,0.0029175076633691788,0.051650479435920715,8.557930414099246e-05,711.911376953125,288.0886535644531,0.00017774880689103156,0.0029175076633691788
10,10,0,10.0,0.0029175076633691788,0.051650479435920715,1.1304055078653619e-05,676.0745849609375,323.925537109375,2.2296713723335415e-05,0.0029175076633691788
11,11,0,11.0,0.0029175076633691788,0.051650479435920715,1.6533148254893604e-06,642.0416870117188,357.9584655761719,3.096925638601533e-06,0.0029175076633691788
12,12,0,12.0,0.0029175076633691788,0.051650479435920715,2.663815052983409e-07,609.7218627929688,390.2783203125,4.73857596716698e-07,0.0029175076633691788
13,13,0,13.0,0.0029175076633691788,0.051650479435920715,4.7050683349425526e-08,579.0287475585938,420.9717102050781,7.948369784571696e-08,0.0029175076633691788
14,14,0,14.0,0.0029175076633691788,0.051650479435920715,9.068362949449238e-09,549.880859375,450.1195373535156,1.4548207971643023e-08,0.0029175076633691788
15,15,0,15.0,0.0029175076633691788,0.051650479435920715,1.8988282057819106e-09,522.20068359375,477.7998046875,2.8929114659348443e-09,0.0029175076633691788
16,16,0,16.0,0.0029175076633691788,0.051650479435920715,4.3015632722465114e-10,495.91339111328125,504.087158203125,6.223635495850033e-10,0.0029175076633691788
17,17,0,17.0,0.0029175076633691788,0.051650479435920715,1.0500970232252271e-10,470.94940185546875,529.0509643554688,1.4428316874592895e-10,0.0029175076633691788
18,18,0,18.0,0.0029175076633691788,0.051650479435920715,2.7520671505576466e-11,447.2421569824219,552.7581787109375,3.590986188961587e-11,0.0029175076633691788
19,19,0,19.0,0.0029175076633691788,0.051650479435920715,7.715739505642638e-12,424.72808837890625,575.2721557617188,9.560938846187028e-12,0.0029175076633691788
20,20,0,20.0,0.0029175076633691788,0.051650479435920715,2.306153532027899e-12,403.34783935546875,596.6524658203125,2.7138133320420144e-12,0.0029175076633691788
21,21,0,21.0,0.0029175076633691788,0.051650479435920715,7.325383789141826e-13,383.0435791015625,616.9566650390625,8.1863552395256e-13,0.0029175076633691788
22,22,0,22.0,0.0029175076633691788,0.051650479435920715,2.465031488391861e-13,363.76141357421875,636.2396240234375,2.61608063770874e-13,0.0029175076633691788
23,23,0,23.0,0.0029175076633691788,0.051650479435920715,8.764300727217081e-14,345.4499816894531,654.5502319335938,8.833126558752818e-14,0.0029175076633691788
24,24,0,24.0,0.0029175076633691788,0.051650479435920715,3.281572672560358e-14,328.0602722167969,671.9400024414062,3.1408533949671066e-14,0.0029175076633691788
25,25,0,25.0,0.0029175076633691788,0.051650479435920715,1.2912033028607099e-14,311.5458984375,688.4542236328125,1.1736231866172567e-14,0.0029175076633691788
26,26,0,26.0,0.0029175076633691788,0.051650479435920715,5.326854680010734e-15,295.86297607421875,704.13720703125,4.598047626918874e-15,0.0029175076633691788
27,27,0,27.0,0.0029175076633691788,0.051650479435920715,2.300668539684768e-15,280.9694519042969,719.0308227539062,1.8859283861823563e-15,0.0029175076633691788
28,28,0,28.0,0.0029175076633691788,0.051650479435920715,1.036574251015224e-15,266.82574462890625,733.1747436523438,8.069379544817484e-16,0.0029175076633691788
29,29,0,29.0,0.0029175076633691788,0.051650479435920715,4.853186973763433e-16,253.39395141601562,746.6064453125,3.587858187512825e-16,0.0029175076633691788
30,30,0,30.0,0.0029175076633691788,0.051650479435920715,2.36403586856225e-16,240.63819885253906,759.3619384765625,1.6597040177697599e-16,0.0029175076633691788
31,31,0,31.0,0.0029175076633691788,0.051650479435920715,1.1941806656592068e-16,228.52464294433594,771.4756469726562,7.961870152685028e-17,0.0029175076633691788
32,32,0,32.0,0.0029175076633691788,0.051650479435920715,6.237697530857457e-17,217.0210418701172,782.9789428710938,3.9494641627573214e-17,0.0029175076633691788
33,33,0,33.0,0.0029175076633691788,0.051650479435920715,3.3650762801118783e-17,206.09632873535156,793.9033203125,2.0233787386390268e-17,0.0029175076633691788
34,34,0,34.0,0.0029175076633691788,0.051650479435920715,1.8733113010374115e-17,195.72146606445312,804.2789306640625,1.0696960715192845e-17,0.0029175076633691788
35,35,0,35.0,0.0029175076633691788,0.051650479435920715,1.0741544095848228e-17,185.86900329589844,814.1312255859375,5.824862771352449e-18,0.0029175076633691788
36,36,0,36.0,0.0029175076633691788,0.051650479435920715,6.332501858915017e-18,176.5123748779297,823.4861450195312,3.2610876002770195e-18,0.0029175076633691788
37,37,0,37.0,0.0029175076633691788,0.051650479435920715,3.833447780507574e-18,167.6268310546875,832.3733520507812,1.8747575022613686e-18,0.0029175076633691788
38,38,0,38.0,0.0029175076633691788,0.051650479435920715,2.3802115922358777e-18,159.188720703125,840.8114624023438,1.1054519254341089e-18,0.0029175076633691788
39,39,0,39.0,0.0029175076633691788,0.051650479435920715,1.5138305802612324e-18,151.17529296875,848.8248901367188,6.676826128647872e-19,0.0029175076633691788
40,40,0,40.0,0.0029175076633691788,0.051650479435920715,9.849221976080884e-19,143.5651397705078,856.434814453125,4.1253702101339827e-19,0.0029175076633691788
41,41,0,41.0,0.0029175076633691788,0.051650479435920715,6.54801135980652e-19,136.33828735351562,863.6624145507812,2.60458934817335e-19,0.0029175076633691788
42,42,0,42.0,0.0029175076633691788,0.051650479435920715,4.443777101817961e-19,129.47512817382812,870.5250854492188,1.6786129974433737e-19,0.0029175076633691788
43,43,0,43.0,0.0029175076633691788,0.051650479435920715,3.0752279748521734e-19,122.95742797851562,877.0427856445312,1.1031742060692617e-19,0.0029175076633691788
44,44,0,44.0,0.0029175076633691788,0.051650479435920715,2.1679045469352678e-19,116.7677001953125,883.23291015625,7.385414890754938e-20,0.0029175076633691788
45,45,0,45.0,0.0029175076633691788,0.051650479435920715,1.5554048329445124e-19,110.88987731933594,889.110107421875,5.0320779701059045e-20,0.0029175076633691788
46,46,0,46.0,0.0029175076633691788,0.051650479435920715,1.1347696620354317e-19,105.3077163696289,894.6925048828125,3.4864218484212416e-20,0.0029175076633691788
47,47,0,47.0,0.0029175076633691788,0.051650479435920715,8.411398023777429e-20,100.0066146850586,899.99365234375,2.454194148008829e-20,0.0029175076633691788
48,48,0,48.0,0.0029175076633691788,0.051650479435920715,6.329540810816019e-20,94.97247314453125,905.028076171875,1.7538075602218226e-20,0.0029175076633691788
49,49,0,49.0,0.0029175076633691788,0.051650479435920715,4.831591684725498e-20,90.19149780273438,909.8087158203125,1.2713579414626071e-20,0.0029175076633691788
50,50,0,50.0,0.0029175076633691788,0.051650479435920715,3.738641818768304e-20,85.65133666992188,914.348876953125,9.34243310094105e-21,0.0029175076633691788
51,51,0,51.0,0.0029175076633691788,0.051650479435920715,2.9305222263383685e-20,81.3397216796875,918.6605224609375,6.954400638798105e-21,0.0029175076633691788
52,52,0,52.0,0.0029175076633691788,0.051650479435920715,2.3254071349544375e-20,77.24531555175781,922.7551879882812,5.240625792946365e-21,0.0029175076633691788
