timepoint_id,sample_id,alpha_param,beta_param,delta_param,epsilon_param,eta_param,gamma_param,kappa_param,mu_param,nu_param,rho_param,sigma_param,tau_param,theta_param,xi_param,XXlambdaXX_param,zeta_param,Ailing_sol,Diagnosed_sol,Extinct_sol,Healed_sol,Infected_sol,Recognized_sol,Susceptible_sol,Threatened_sol
0,0,0.5516360998153687,0.01178485993295908,0.010960717685520649,0.15933646261692047,0.11689934879541397,0.4934118390083313,0.01697007566690445,0.016914281994104385,0.029241137206554413,0.03284270316362381,0.01721988245844841,0.009420642629265785,0.38933759927749634,0.017727499827742577,0.034976113587617874,0.13104914128780365,1.666666626931601e-08,3.3333333249174757e-07,5.919029005896058e-32,1.2840837500640431e-17,3.3333333249174757e-06,3.333333253863202e-08,0.9999963045120239,1.25660923036143e-19
1,0,0.5516360998153687,0.01178485993295908,0.010960717685520649,0.15933646261692047,0.11689934879541397,0.4934118390083313,0.01697007566690445,0.016914281994104385,0.029241137206554413,0.03284270316362381,0.01721988245844841,0.009420642629265785,0.38933759927749634,0.017727499827742577,0.034976113587617874,0.13104914128780365,4.18956858538877e-07,8.488187859256868e-07,2.1238958508584815e-11,1.5697837341122067e-07,4.306785740482155e-06,1.835742580169608e-07,0.9999936819076538,6.34519103925868e-09
2,0,0.5516360998153687,0.01178485993295908,0.010960717685520649,0.15933646261692047,0.11689934879541397,0.4934118390083313,0.01697007566690445,0.016914281994104385,0.029241137206554413,0.03284270316362381,0.01721988245844841,0.009420642629265785,0.38933759927749634,0.017727499827742577,0.034976113587617874,0.13104914128780365,8.130523951876967e-07,1.4715146789967548e-06,1.624396728239219e-10,3.859252046822803e-07,5.7551319514459465e-06,5.403275622484216e-07,0.9999909400939941,2.6418753407142503e-08
3,0,0.5516360998153687,0.01178485993295908,0.010960717685520649,0.15933646261692047,0.11689934879541397,0.4934118390083313,0.01697007566690445,0.016914281994104385,0.029241137206554413,0.03284270316362381,0.01721988245844841,0.009420642629265785,0.38933759927749634,0.017727499827742577,0.034976113587617874,0.13104914128780365,1.258639258594485e-06,2.266010824314435e-06,5.810201209044408e-10,7.145843596845225e-07,7.815960088919383e-06,1.1197537332918728e-06,0.9999856948852539,6.63187833538359e-08
4,0,0.5516360998153687,0.01178485993295908,0.010960717685520649,0.15933646261692047,0.11689934879541397,0.4934118390083313,0.01697007566690445,0.016914281994104385,0.029241137206554413,0.03284270316362381,0.01721988245844841,0.009420642629265785,0.38933759927749634,0.017727499827742577,0.034976113587617874,0.13104914128780365,1.815698851714842e-06,3.3141839139716467e-06,1.4990209074028371e-09,1.180855633720057e-06,1.0694276170397643e-05,1.965604724318837e-06,0.9999809861183167,1.3391425568443083e-07
0,1,0.5644027590751648,0.011354643851518631,0.011678882874548435,0.16011734306812286,0.12850922346115112,0.43832269310951233,0.015764901414513588,0.015838883817195892,0.02709832414984703,0.03241824358701706,0.01710372045636177,0.009385387413203716,0.3812115788459778,0.01562446914613247,0.037254802882671356,0.12625958025455475,1.666666626931601e-08,3.3333333249174757e-07,5.477623236449009e-32,1.3577232559423927e-17,3.3333333249174757e-06,3.333333253863202e-08,0.9999963045120239,1.167258860804071e-19
1,1,0.5644027590751648,0.011354643851518631,0.011678882874548435,0.16011734306812286,0.12850922346115112,0.43832269310951233,0.015764901414513588,0.015838883817195892,0.02709832414984703,0.03241824358701706,0.01710372045636177,0.009385387413203716,0.3812115788459778,0.01562446914613247,0.037254802882671356,0.12625958025455475,4.085000853137899e-07,8.489124638799694e-07,1.9546446058948952e-11,1.6566814053931012e-07,4.352137693786062e-06,1.865703893599857e-07,0.9999943971633911,5.86386361689506e-09
2,1,0.5644027590751648,0.011354643851518631,0.011678882874548435,0.16011734306812286,0.12850922346115112,0.43832269310951233,0.015764901414513588,0.015838883817195892,0.02709832414984703,0.03241824358701706,0.01710372045636177,0.009385387413203716,0.3812115788459778,0.01562446914613247,0.037254802882671356,0.12625958025455475,7.990642529875913e-07,1.4735983313585166e-06,1.4982241836047905e-10,4.0649871380082914e-07,5.849967237736564e-06,5.482151550495473e-07,0.9999908804893494,2.4508864271410857e-08
3,1,0.5644027590751648,0.011354643851518631,0.011678882874548435,0.16011734306812286,0.12850922346115112,0.43832269310951233,0.015764901414513588,0.015838883817195892,0.02709832414984703,0.03241824358701706,0.01710372045636177,0.009385387413203716,0.3812115788459778,0.01562446914613247,0.037254802882671356,0.12625958025455475,1.2448564348233049e-06,2.2721008008375065e-06,5.375742073709944e-10,7.514690878451802e-07,7.97549364506267e-06,1.1387321592337685e-06,0.9999858736991882,6.177712918997713e-08
4,1,0.5644027590751648,0.011354643851518631,0.011678882874548435,0.16011734306812286,0.12850922346115112,0.43832269310951233,0.015764901414513588,0.015838883817195892,0.02709832414984703,0.03241824358701706,0.01710372045636177,0.009385387413203716,0.3812115788459778,0.01562446914613247,0.037254802882671356,0.12625958025455475,1.804618250389467e-06,3.327514150441857e-06,1.3915240071327162e-09,1.2404520930431318e-06,1.094663002731977e-05,2.0059962935192743e-06,0.999980628490448,1.2524232317900896e-07
